"","site","year","date","block","plot","month","collectors","Achillea_millefolium","Agrostis_gigantea","Anagallis_arvensis","Anchusa_arvensis","Apera_spica-venti","Aphanes_australis","Arabidopsis_thaliana","Arenaria_serpyllifolia","Arrhenatherum_elatius","Artemisia_vulgaris","Bromus_hordeaceus","Bromus_sterilis","Capsella_bursa-pastoris","Castanea_sativa","Cerastium_fontanum","Cerastium_glomeratum","Chenopodium_album","Cirsium_arvense","Convolvulus_arvensis","Crepis_capillaris","Dactylis_glomerata","Elymus_repens","Epilobium_ciliatum","Epilobium_montanum","Erigeron_canadensis","Erodium_cicutarium","Euphorbia_helioscopia","Fallopia_convolvulus","Festuca_rubra","Galinsoga_parviflora","Geranium_molle","Heracleum_sphondylium","Holcus_lanatus","Holcus_mollis","Hypericum_perforatum","Hypochaeris_radicata","Jacobaea_vulgaris","Lactuca_serriola","Lamium_amplexicaule","Lapsana_communis","Lolium_perenne","Matricaria_chamomilla","Medicago_lupulina","Myosotis_arvensis","Panicum_miliaceum","Papaver_dubium","Papaver_rhoeas","Persicaria_lapathifolia","Persicaria_maculosa","Phleum_bertolonii","Plantago_lanceolata","Polygonum_aviculare","Prunus_spinosa","Quercus_robur","Ranunculus_repens","Raphanus_raphanistrum","Rumex_acetosa","Rumex_acetosella","Rumex_crispus","Rumex_obtusifolius","Sisymbrium_officinale","Sonchus_asper","Sonchus_oleraceus","Spergula_arvensis","Stellaria_graminea","Trifolium_dubium","Trifolium_repens","Tripleurospermum_inodorum","Veronica_arvensis_","Veronica_chamaedrys","Veronica_persica","Vicia_cracca","Vicia_hirsuta","Vicia_sativa","Vicia_tetrasperma","Viola_arvensis","Vulpia_bromoides","Vulpia_myuros"
"1","Pound Hill Disturbance ",2016,"Jul-16","a",1,"october","M_Crawley",1,5,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,0,2,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,85,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,5
"2","Pound Hill Disturbance ",2016,"Jul-16","a",2,"may","M_Crawley",0,10,1,1,0,0,0,0,0,2,5,40,0,0,0,0,2,1,0,2,0,0,0,0,0,40,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,1,0,35,0,0,0,0,0,0,5,0,1,0,0,0,0,0
"3","Pound Hill Disturbance ",2016,"Jul-16","a",3,"march","M_Crawley",2,15,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,35,0,1,0.1,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
"4","Pound Hill Disturbance ",2016,"Jul-16","b",4,"may","M_Crawley",0,5,2,1,0,0,0,0,0,1,1,55,0,0,0,0,0.1,0.1,0,4,0,0,0,0,0,35,0,4,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0.1,0,25,0,0,0,0,0,0,5,0,0.1,0,0,0,0,0
"5","Pound Hill Disturbance ",2016,"Jul-16","b",5,"march","M_Crawley",5,25,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1,0,2,0,0,0,0,0,40,0,0.1,0,0,0,0,0,0,40,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0.1,0,0,5,0,0,0,0,0,0,0
"6","Pound Hill Disturbance ",2016,"Jul-16","b",6,"october","M_Crawley",1,15,0.1,0,0.1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,25
"7","Pound Hill Disturbance ",2016,"Jul-16","c",7,"march","M_Crawley",8,10,0.1,35,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,1,0,1,0,0,0,0,0,35,0,0.1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0.1,8,0,0,1,0,2,0,0,0,0.1,0,0,0.1,0,1,0,0,2,0,0
"8","Pound Hill Disturbance ",2016,"Jul-16","c",8,"october","M_Crawley",0.1,20,0.2,0.1,5,2,0,0,0,0.2,1,0,0,0,0,0,0,0,0,2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0,20
"9","Pound Hill Disturbance ",2016,"Jul-16","c",9,"may","M_Crawley",0.1,5,2,2,0,0,0,0,0,0.1,0.1,65,0,0,0,0,1,0.1,0,1,0,0,0,0,0,25,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.3,0,0,0.1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Pound Hill Disturbance ",2016,"Jul-16","d",10,"march","M_Crawley",10,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0.1,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,60,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,10,0,0,1,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0
"11","Pound Hill Disturbance ",2016,"Jul-16","d",11,"october","M_Crawley",0,15,0.1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.1,0,0,0.1,0,65
"12","Pound Hill Disturbance ",2016,"Jul-16","d",12,"may","M_Crawley",0,5,5,10,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0.1,40,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1,0.2,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"13","Pound Hill Disturbance ",2017,"Jul-17","a",1,"october","M_Crawley",5,15,0,0,0,0,0,0,1,10,4,2,0,0,0,0.1,0,3,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,85,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,15
"14","Pound Hill Disturbance ",2017,"Jul-17","a",2,"may","M_Crawley",5,10,0,15,0,0,0,0,0,3,0,2,2,0,0,0,1,1,0,3,0,0.1,0,0,1,45,0,35,0,1,0,0,40,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,1,5,1,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"15","Pound Hill Disturbance ",2017,"Jul-17","a",3,"march","M_Crawley",10,10,0,0.1,0,0,0,0,0,40,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0.1,1,0,25,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2,0,5,10,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"16","Pound Hill Disturbance ",2017,"Jul-17","b",4,"may","M_Crawley",2,10,0,10,0,0,0,0,0,1,0,15,0.1,0,0,0,2,0,0,0,0,0,0,0,0.2,45,0,15,0,3,0,0,35,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Pound Hill Disturbance ",2017,"Jul-17","b",5,"march","M_Crawley",10,5,0,0.2,0,0,0,0,0,60,0,3,0.1,0,0,0,1,0,0,0.1,0,0,0,0,0,0.3,0,15,0,0,0,0,40,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0
"18","Pound Hill Disturbance ",2017,"Jul-17","b",6,"october","M_Crawley",15,15,0,0,2,0,0,0,0,4,2,1,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,3,0,0,0,0,0,85,0.2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,1,0,0.1,0,0,0,10,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0.2,0,0,0,0.1,20
"19","Pound Hill Disturbance ",2017,"Jul-17","c",7,"march","M_Crawley",15,10,0,1,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0.1,10,0,0,0,3,0,40,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.2,1,0,0.1,0,5,0,10,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"20","Pound Hill Disturbance ",2017,"Jul-17","c",8,"october","M_Crawley",1,10,0,0.1,10,0,0,0,0,0.1,3,1,0,0.1,0,0,0,0,0,2,0,0,0.1,0,0,0.1,0,4,0,0,0,0,0,90,2,0.1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.1,0,2
"21","Pound Hill Disturbance ",2017,"Jul-17","c",9,"may","M_Crawley",3,0.1,0,25,0,0,0,0,0,0,0,20,0.2,0,0,0,1,0.3,0,0.2,0,0,0,0,0,30,0.1,20,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.2,0,15,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
"22","Pound Hill Disturbance ",2017,"Jul-17","d",10,"march","M_Crawley",15,15,0.1,0.1,0,0,0,0,0,25,0.1,0.1,0,0,0,0,5,0,0,0,0,2,0,0,0,0.2,0,30,0.1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,5,0,1,0,0,15,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0
"23","Pound Hill Disturbance ",2017,"Jul-17","d",11,"october","M_Crawley",5,10,0,0,0,0,0,0,0.1,0,10,0,0,0.1,0,0,0,0,0,2,0.1,0,1,0,1,0,0,3,0,0,0,0,0,80,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0.1,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,25
"24","Pound Hill Disturbance ",2017,"Jul-17","d",12,"may","M_Crawley",0.1,2,0,5,0,0,0,0,0,0,0,10,0.1,0,0,0,1,0.1,0,2,0,0.1,0,0,1,65,0,8,0,1,0,0,20,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Pound Hill Disturbance ",2019,"Jul-19","a",1,"october","M_Crawley",15,20,0,0,1,10,0,0,0.1,5,8,10,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0.1,0,85,0,0,0,0,0,1,0,0,0,5,0,10,1,0,0,0,1,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,20
"26","Pound Hill Disturbance ",2019,"Jul-19","a",2,"may","M_Crawley",0.1,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,30,0,5,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Pound Hill Disturbance ",2019,"Jul-19","a",3,"march","M_Crawley",30,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Pound Hill Disturbance ",2019,"Jul-19","b",4,"may","M_Crawley",1,2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.1,0,0,0,0,0,0,0,30,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,2,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Pound Hill Disturbance ",2019,"Jul-19","b",5,"march","M_Crawley",30,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Pound Hill Disturbance ",2019,"Jul-19","b",6,"october","M_Crawley",30,25,0,8,5,10,0,0,0,8,15,25,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20
"31","Pound Hill Disturbance ",2019,"Jul-19","c",7,"march","M_Crawley",30,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Pound Hill Disturbance ",2019,"Jul-19","c",8,"october","M_Crawley",15,10,0,0.1,40,1,0,0,0,2,20,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0.1
"33","Pound Hill Disturbance ",2019,"Jul-19","c",9,"may","M_Crawley",2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,35,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Pound Hill Disturbance ",2019,"Jul-19","d",10,"march","M_Crawley",30,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Pound Hill Disturbance ",2019,"Jul-19","d",11,"october","M_Crawley",15,25,0,0,0.2,0,0,0,1,1,60,1,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,8,0,0,0,0.1,0,0,0,0,0,5
"36","Pound Hill Disturbance ",2019,"Jul-19","d",12,"may","M_Crawley",2,3,0,5,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,80,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Pound Hill Disturbance ",2020,"Aug-20","a",1,"october","M_Crawley",8,25,0,0,0,0,0,0,3,10,0,0,0,0,2,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,2,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,35
"38","Pound Hill Disturbance ",2020,"Aug-20","a",2,"may","M_Crawley",0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,20,0,0,0.1,0,0,0,0,0.1,35,0,5,0,6,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Pound Hill Disturbance ",2020,"Aug-20","a",3,"march","M_Crawley",3,15,0,0,0,0,0,0,0,65,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Pound Hill Disturbance ",2020,"Aug-20","b",4,"may","M_Crawley",1,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,15,0.1,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Pound Hill Disturbance ",2020,"Aug-20","b",5,"march","M_Crawley",3,15,0,0,0,0,0,0,0,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Pound Hill Disturbance ",2020,"Aug-20","b",6,"october","M_Crawley",4,10,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Pound Hill Disturbance ",2020,"Aug-20","c",7,"march","M_Crawley",6,15,0,1,0,0,0,0,0,65,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Pound Hill Disturbance ",2020,"Aug-20","c",8,"october","M_Crawley",2,25,0,12,5,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"45","Pound Hill Disturbance ",2020,"Aug-20","c",9,"may","M_Crawley",1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,0,2,0.1,0,0,0,0,0.1,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Pound Hill Disturbance ",2020,"Aug-20","d",10,"march","M_Crawley",10,20,0,0,0,0,0,0,0,55,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2,0,0,0.1,0,0.1,0,0.1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Pound Hill Disturbance ",2020,"Aug-20","d",11,"october","M_Crawley",4,40,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,40,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Pound Hill Disturbance ",2020,"Aug-20","d",12,"may","M_Crawley",0.2,4,1,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,20,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Pound Hill Disturbance ",2021,"20-Jun-21","a",1,"october","M_Crawley",5,15,0,0,0,8,0,0,2,5,5,8,0,0,1,0,0,2,0,0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,70,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0.1,0,0.1,15,0,0,0,0,0,0,5,0,0,0,0,2,0,0,2,0.1,1,1,0,25
"50","Pound Hill Disturbance ",2021,"20-Jun-21","a",2,"may","M_Crawley",5,25,0,8,0,0,0,0,0,8,0.1,0,1,0,0,1,10,1,0,1,0,0,0,0,2,8,0,20,0,5,0,0,0,15,0,1,0,0,8,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,10,0,20,8,0,0,1,0,15,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"51","Pound Hill Disturbance ",2021,"20-Jun-21","a",3,"march","M_Crawley",8,20,0,2,0,3,5,0,0,85,8,1,1,0,0,0,3,0,0,0,0,0.1,0,0,0.1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,15,0,0,2,0,1,1,0,2,0,15,0,0,0,0,0,0,1,0,0,3,0,0
"52","Pound Hill Disturbance ",2021,"20-Jun-21","b",4,"may","M_Crawley",0,45,1,5,0,0,0,0,0,5,0,0,1,0,0,0,8,0,0,1.1,0,0,0,0,5,5,0,10,0,2,0.1,0,0,5,0,0.1,0,0,8,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0.1,3,0
"53","Pound Hill Disturbance ",2021,"20-Jun-21","b",5,"march","M_Crawley",5,25,0,3,0,1,0.1,0,0,80,10,0.1,1,0,0,0,2,0,0,0,0.1,0,0,0,0,0,0,3,0.1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,8,0,0,1,0,0.1,0,0,1,0,15,0,0,0,0,0,0,2,0,0,2,0,0
"54","Pound Hill Disturbance ",2021,"20-Jun-21","b",6,"october","M_Crawley",1,20,0,0.1,0,15,0,0,0,5,8,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0.1,1,0,0,0,30,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,2,0,0,0.1,0,20
"55","Pound Hill Disturbance ",2021,"20-Jun-21","c",7,"march","M_Crawley",8,30,0,5,1,0,1,0,0,75,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,1,0,0
"56","Pound Hill Disturbance ",2021,"20-Jun-21","c",8,"october","M_Crawley",2,10,0,0,8,10,0,30,0,0.1,8,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,2,0,0,2,0,5
"57","Pound Hill Disturbance ",2021,"20-Jun-21","c",9,"may","M_Crawley",3,40,2,10,0.1,0,0.1,0,0,1,1,0,2,0,0,0,8,0,1,2,0,0,0,0,0.1,8,0,15,0,15,0.1,0,0,2,0,0.1,0,0,2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,1,0.1,15,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"58","Pound Hill Disturbance ",2021,"20-Jun-21","d",10,"march","M_Crawley",8,40,0,5,0,0,1,0,0,80,5,0,1,0,0,0,25,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,2,0,0,0,10,0,0,1,0,1,0,0,0,0,25,0,0,0,0,0,0,0.1,0,0,0.1,0,0
"59","Pound Hill Disturbance ",2021,"20-Jun-21","d",11,"october","M_Crawley",10,15,0,0,0,5,0,25,0.1,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0,0,0,0,10
"60","Pound Hill Disturbance ",2021,"20-Jun-21","d",12,"may","M_Crawley",5,15,0,5,0,0,0,0,0,0,1,0,10,0,0,0,5,0,0,0,0,0,0,0,8,10,0,3,0,45,0,0,0,15,0,0.1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,0,0.2,0,15,0,0,0,0,0,0,0.1,0,0,0,0,2,0,0
